beta :[ 0.  0.  0.] and der [-0.00109646  0.00087082 -0.00097528]
beta :[ 0.00109646 -0.00087082  0.00097528] and der [-0.00109385  0.00086875 -0.00097267]
beta :[ 0.00219031 -0.00173957  0.00194795] and der [-0.00109124  0.00086669 -0.00097007]
beta :[ 0.00328154 -0.00260626  0.00291802] and der [-0.00108864  0.00086463 -0.00096747]
beta :[ 0.00437018 -0.00347089  0.00388549] and der [-0.00108604  0.00086257 -0.00096488]
beta :[ 0.00545622 -0.00433346  0.00485037] and der [-0.00108345  0.00086053 -0.0009623 ]
beta :[ 0.00653967 -0.00519399  0.00581267] and der [-0.00108087  0.00085848 -0.00095972]
beta :[ 0.00762054 -0.00605247  0.00677239] and der [-0.00107829  0.00085644 -0.00095715]
beta :[ 0.00869883 -0.00690891  0.00772955] and der [-0.00107572  0.00085441 -0.00095459]
beta :[ 0.00977456 -0.00776332  0.00868414] and der [-0.00107316  0.00085238 -0.00095203]
beta :[ 0.01084772 -0.0086157   0.00963617] and der [-0.0010706   0.00085036 -0.00094948]
beta :[ 0.01191832 -0.00946606  0.01058565] and der [-0.00106805  0.00084834 -0.00094694]
beta :[ 0.01298637 -0.0103144   0.01153259] and der [-0.00106551  0.00084633 -0.0009444 ]
beta :[ 0.01405188 -0.01116073  0.01247699] and der [-0.00106297  0.00084432 -0.00094187]
beta :[ 0.01511485 -0.01200504  0.01341886] and der [-0.00106044  0.00084231 -0.00093934]
beta :[ 0.01617528 -0.01284736  0.0143582 ] and der [-0.00105791  0.00084031 -0.00093683]
beta :[ 0.0172332  -0.01368767  0.01529503] and der [-0.00105539  0.00083832 -0.00093431]
beta :[ 0.01828859 -0.01452599  0.01622934] and der [-0.00105288  0.00083633 -0.00093181]
beta :[ 0.01934147 -0.01536232  0.01716115] and der [-0.00105037  0.00083435 -0.00092931]
beta :[ 0.02039184 -0.01619667  0.01809046] and der [-0.00104787  0.00083237 -0.00092681]
beta :[ 0.02143971 -0.01702904  0.01901727] and der [-0.00104538  0.00083039 -0.00092433]
beta :[ 0.02248508 -0.01785943  0.0199416 ] and der [-0.00104289  0.00082842 -0.00092185]
beta :[ 0.02352797 -0.01868785  0.02086345] and der [-0.00104041  0.00082646 -0.00091937]
beta :[ 0.02456838 -0.01951431  0.02178282] and der [-0.00103793  0.0008245  -0.0009169 ]
beta :[ 0.02560631 -0.02033881  0.02269972] and der [-0.00103546  0.00082254 -0.00091444]
beta :[ 0.02664176 -0.02116136  0.02361417] and der [-0.00103299  0.00082059 -0.00091199]
beta :[ 0.02767476 -0.02198195  0.02452615] and der [-0.00103054  0.00081865 -0.00090954]
beta :[ 0.0287053  -0.0228006   0.02543569] and der [-0.00102809  0.00081671 -0.00090709]
beta :[ 0.02973338 -0.0236173   0.02634279] and der [-0.00102564  0.00081477 -0.00090466]
beta :[ 0.03075902 -0.02443208  0.02724744] and der [-0.0010232   0.00081284 -0.00090223]
beta :[ 0.03178222 -0.02524491  0.02814967] and der [-0.00102077  0.00081091 -0.0008998 ]
beta :[ 0.03280299 -0.02605583  0.02904947] and der [-0.00101834  0.00080899 -0.00089738]
beta :[ 0.03382132 -0.02686482  0.02994685] and der [-0.00101592  0.00080707 -0.00089497]
beta :[ 0.03483724 -0.02767189  0.03084182] and der [-0.0010135   0.00080516 -0.00089256]
beta :[ 0.03585074 -0.02847706  0.03173438] and der [-0.00101109  0.00080325 -0.00089016]
beta :[ 0.03686183 -0.02928031  0.03262455] and der [-0.00100869  0.00080135 -0.00088777]
beta :[ 0.03787052 -0.03008166  0.03351232] and der [-0.00100629  0.00079945 -0.00088538]
beta :[ 0.03887681 -0.03088111  0.03439769] and der [-0.0010039   0.00079756 -0.000883  ]
beta :[ 0.03988071 -0.03167867  0.03528069] and der [-0.00100151  0.00079567 -0.00088062]
beta :[ 0.04088222 -0.03247434  0.03616131] and der [-0.00099913  0.00079379 -0.00087825]
beta :[ 0.04188135 -0.03326813  0.03703956] and der [-0.00099676  0.00079191 -0.00087589]
beta :[ 0.04287811 -0.03406003  0.03791545] and der [-0.00099439  0.00079003 -0.00087353]
beta :[ 0.0438725  -0.03485007  0.03878898] and der [-0.00099203  0.00078816 -0.00087118]
beta :[ 0.04486452 -0.03563823  0.03966015] and der [-0.00098967  0.00078629 -0.00086883]
beta :[ 0.04585419 -0.03642452  0.04052898] and der [-0.00098732  0.00078443 -0.00086649]
beta :[ 0.04684151 -0.03720895  0.04139547] and der [-0.00098497  0.00078258 -0.00086415]
beta :[ 0.04782648 -0.03799153  0.04225962] and der [-0.00098263  0.00078072 -0.00086182]
beta :[ 0.04880912 -0.03877225  0.04312145] and der [-0.0009803   0.00077888 -0.0008595 ]
beta :[ 0.04978942 -0.03955113  0.04398095] and der [-0.00097797  0.00077703 -0.00085718]
beta :[ 0.05076739 -0.04032816  0.04483813] and der [-0.00097565  0.00077519 -0.00085487]
beta :[ 0.05174304 -0.04110336  0.045693  ] and der [-0.00097333  0.00077336 -0.00085257]
beta :[ 0.05271638 -0.04187672  0.04654557] and der [-0.00097102  0.00077153 -0.00085027]
beta :[ 0.0536874  -0.04264825  0.04739584] and der [-0.00096872  0.00076971 -0.00084797]
beta :[ 0.05465612 -0.04341795  0.04824381] and der [-0.00096642  0.00076788 -0.00084569]
beta :[ 0.05562254 -0.04418584  0.0490895 ] and der [-0.00096413  0.00076607 -0.0008434 ]
beta :[ 0.05658667 -0.0449519   0.04993291] and der [-0.00096184  0.00076426 -0.00084113]
beta :[ 0.05754851 -0.04571616  0.05077403] and der [-0.00095956  0.00076245 -0.00083886]
beta :[ 0.05850807 -0.04647861  0.05161289] and der [-0.00095728  0.00076065 -0.00083659]
beta :[ 0.05946535 -0.04723926  0.05244948] and der [-0.00095501  0.00075885 -0.00083433]
beta :[ 0.06042036 -0.0479981   0.05328381] and der [-0.00095274  0.00075705 -0.00083208]
beta :[ 0.0613731  -0.04875516  0.05411589] and der [-0.00095048  0.00075526 -0.00082983]
beta :[ 0.06232358 -0.04951042  0.05494572] and der [-0.00094823  0.00075348 -0.00082759]
beta :[ 0.06327182 -0.0502639   0.05577331] and der [-0.00094598  0.0007517  -0.00082535]
